Ephemeris for 1P/Halley,,,,,,,,,,,,,,
,DATE,,Earth Dist,Sun Dist,,,,,,,,,,
Year,Month,Day,AU,AU,,,,,,,,,,
2013,Jan,1,32.4549,33.2715,,,,,,,,,,
2013,Jan,2,32.4476,33.2724,,,,,,,,,,
2013,Jan,3,32.4405,33.2734,,,,,,,,,,
2013,Jan,4,32.4338,33.2744,,,,,,,,,,
2013,Jan,5,32.4273,33.2753,,,,,,,,,,
2013,Jan,6,32.4211,33.2763,,,,,,,,,,
2013,Jan,7,32.4151,33.2772,,,,,,,,,,
2013,Jan,8,32.4094,33.2782,,,,,,,,,,
2013,Jan,9,32.404,33.2791,,,,,,,,,,"gets closer and farther as earth rotates around the sun too, but in the longer term, just gets farther"
2013,Jan,10,32.3989,33.2801,,,,,,,,,,
2013,Jan,11,32.394,33.281,,,,,,,,,,
2013,Jan,12,32.3895,33.282,,,,,,,,,,
2013,Jan,13,32.3852,33.2829,,,,,,,,,,
2013,Jan,14,32.3812,33.2839,,,,,,,,,,
2013,Jan,15,32.3775,33.2849,,,,,,,,,,
2013,Jan,16,32.3741,33.2858,,,,,,,,,,
2013,Jan,17,32.371,33.2868,,,,,,,,,,
2013,Jan,18,32.3682,33.2877,,,,,,,,,,
2013,Jan,19,32.3657,33.2887,,,,,,,,,,"linear as expected, distance just gets bigger over time"
2013,Jan,20,32.3635,33.2896,,,,,,,,,,
2013,Jan,21,32.3615,33.2906,,,,,,,,,,
2013,Jan,22,32.3599,33.2915,,,,,,,,,,
2013,Jan,23,32.3585,33.2925,,,,,,,,,,
2013,Jan,24,32.3575,33.2934,,,,,,,,,,
2013,Jan,25,32.3568,33.2944,,,,,,,,,,
2013,Jan,26,32.3563,33.2953,,,,,,,,,,
2013,Jan,27,32.3562,33.2963,,,,,,,,,,
2013,Jan,28,32.3564,33.2972,,,,,,,,,,
2013,Jan,29,32.3568,33.2982,,,,,,,,,,
2013,Jan,30,32.3576,33.2991,,,,,,,,,,
2013,Jan,31,32.3587,33.3001,,,,,,,,,,
2013,Feb,1,32.36,33.301,,,,,,,,,,
2013,Feb,2,32.3617,33.302,,,,,,,,,,
2013,Feb,3,32.3637,33.3029,,,,,,,,,,
2013,Feb,4,32.3659,33.3039,,,,,,,,,,
